,versionCreated,text,storyId,sourceCode,basic_Score,basic_sentiment,2M,10M,15M,30M,45M,60M
2020-09-11 21:33:54.978,2020-09-11 21:33:54.978000+00:00,Google has more in store for affordable phones with Android 11 (Go edition),urn:newsml:reuters.com:20200911:nNRAcx640x:1,NS:TIMIND,0.1170995670995671,positive,,,,,,
2020-09-11 18:24:57.686,2020-09-11 18:24:57.686000+00:00,Google sees high demand for Cloud tech in India,urn:newsml:reuters.com:20200911:nNRAcx4p3g:1,NS:BUSSTA,0.07038239538239538,positive,0.19698537115875325,0.3616228331940752,0.5312802557063012,0.6850223477764983,0.41173622992347614,1.0557169193225358
2020-09-11 17:39:51.000,2020-09-11 18:21:45+00:00,"UPDATE 2-Apple revises App Store guidelines, loosening some in-app payment rules",urn:newsml:reuters.com:20200911:nL4N2G83FF:2,NS:RTRS,0.0025482093663911935,neutral,-0.05051397438325944,0.10392640029033284,0.33185611794799286,0.5251967630729881,0.4469319393174409,0.6697877086553339
2020-09-11 18:00:19.910,2020-09-11 18:14:27.062000+00:00,Reuters Insider - Apple App store policy update will affect Microsoft and Google game streaming apps,urn:newsml:reuters.com:20200911:nRTV5PKlwp:6,NS:CNBC,-0.10750000000000001,negative,-0.023823862245131444,-0.2256649173775105,-0.28456279903910087,0.420888232997374,0.3707919448874719,0.14383656830501135
2020-09-11 18:03:11.000,2020-09-11 18:03:11+00:00,Progressive Democrats urge action on tech as potential Google lawsuit looms,urn:newsml:reuters.com:20200911:nL1N2G815B:4,NS:RTRS,0.09444444444444444,positive,0.13530059429056607,0.1669187095404867,0.20296084049664653,0.4125543881990934,0.43576886341929466,0.4444975061020928
2020-09-11 17:01:27.229,2020-09-11 17:02:02.218000+00:00,APPLE'S CHANGES ON FRIDAY INCLUDE RULES THAT DIRECTLY AFFECT GAME STREAMING SERVICES - CNBC,urn:newsml:reuters.com:20200911:nFWN2G80IB:2,NS:RTRS,0.0,neutral,-0.08507595594586803,-0.2599285626797898,-0.08706216503411301,-0.651807615787714,0.15657948312219894,-0.2102071285044138
2020-09-11 17:01:27.229,2020-09-11 17:01:27.229000+00:00,APPLE ISSUES NEW RULES FOR APP STORE THAT WILL IMPACT STREAMING GAME SERVICES FROM GOOGLE AND MICROSOFT - CNBC,urn:newsml:reuters.com:20200911:nFWN2G80IB:1,NS:RTRS,0.0,neutral,0.1006533955362432,-0.017229496898685248,-0.016566823941044362,-0.39793511106398505,0.09144886815459774,-0.171632296029256
2020-09-11 16:55:44.000,2020-09-11 16:55:44+00:00,BUZZ-FAANG vs BAANG: Gold miners soar in week marked by tech sell-off,urn:newsml:reuters.com:20200911:nL4N2G82V7:1,NS:RTRS,0.10359477124183006,positive,-0.279534505660084,-0.32777568512387667,-0.4097129980241032,-0.3114067260099218,-0.26896109646252775,-0.18907898997508887
2020-09-11 08:04:33.000,2020-09-11 14:58:33+00:00,UPDATE 2-France renews push for EU digital tax if global efforts fail,urn:newsml:reuters.com:20200911:nL8N2G81HB:5,NS:RTRS,0.12040849673202615,positive,-0.0363131751981105,-0.1381197556642122,-0.10958797515141505,-0.6724421907219891,-0.6507191305588411,-0.7872177623302723
2020-09-11 14:43:35.269,2020-09-11 14:43:35.269000+00:00,Curve customers gets access to Google Pay in 14 additional European countries,urn:newsml:reuters.com:20200911:nNRAcx1gro:1,NS:DATMTR,0.16412698412698415,positive,-0.019227070466365515,0.23422422445664726,0.2867994648422023,0.19736366683389406,-0.36722013441127244,-0.3454303218056065
2020-09-11 14:06:55.000,2020-09-11 14:06:55+00:00,AmWell introduces Google at IPO,urn:newsml:reuters.com:20200911:nL1N2G71AP:1,NS:IFR,0.049740259740259744,neutral,0.4050159980632184,0.17260896022404104,0.6909527517322989,0.16554233107157756,0.8368721005555191,1.0083032892541421
2020-09-11 12:17:15.000,2020-09-11 12:17:15+00:00,BRIEF-Google And Sofi Stadium And Hollywood Park Sign Multi-Year Partnership,urn:newsml:reuters.com:20200911:nFWN2G80ES:1,NS:RTRS,-0.003409090909090917,neutral,0.0,-0.2658712145775177,-0.36314117113026567,-0.1361779391738427,-0.32942091952531394,-0.42798780883210874
2020-09-11 12:07:13.039,2020-09-11 12:09:05.643000+00:00,"GOOGLE CLOUD - GOOGLE CLOUD NAMED EXCLUSIVE CLOUD PARTNER FOR LOS ANGELES RAMS, LOS ANGELES CHARGERS, AND NEW SOFI STADIUM",urn:newsml:reuters.com:20200911:nFWN2G80ES:3,NS:RTRS,-0.003409090909090917,neutral,,,,,,
2020-09-11 12:07:13.039,2020-09-11 12:08:35.179000+00:00,"GOOGLE CLOUD - YOUTUBE NAMED OFFICIAL VIDEO STREAMING SPONSOR OF RAMS, CHARGERS, SOFI STADIUM, AND HOLLYWOOD PARK",urn:newsml:reuters.com:20200911:nFWN2G80ES:2,NS:RTRS,-0.003409090909090917,neutral,0.0,0.006485084306095956,-0.040856031128411185,-0.29182879377431803,,
2020-09-11 12:07:13.039,2020-09-11 12:07:13.039000+00:00,GOOGLE AND SOFI STADIUM AND HOLLYWOOD PARK SIGN MULTI-YEAR PARTNERSHIP,urn:newsml:reuters.com:20200911:nFWN2G80ES:1,NS:RTRS,-0.003409090909090917,neutral,,,,,,
2020-09-11 11:34:14.388,2020-09-11 11:34:14.388000+00:00,Android users advised to remove 17 Google Play Store apps. Check if you have any of these,urn:newsml:reuters.com:20200911:nNRAcx0erg:1,NS:MINTNE,0.07829611908559275,positive,,,,,,
2020-09-11 11:11:47.000,2020-09-11 11:11:51+00:00,Microsoft takes aim at Sony with cloud gaming service,urn:newsml:reuters.com:20200911:nL4N2G82HA:6,NS:RTRS,0.09630924630924631,positive,0.025863183757923736,,,,,
2020-09-11 11:11:47.000,2020-09-11 11:11:47+00:00,MICROSOFT SAYS SUBSCRIBERS CAN PLAY XBOX GAMES ON ANDROID DEVICES WITHOUT A CONSOLE,urn:newsml:reuters.com:20200911:nL4N2G82HA:3,NS:RTRS,0.09630924630924631,positive,0.025863183757923736,,,,,
2020-09-11 11:11:44.000,2020-09-11 11:11:44+00:00,MICROSOFT SAYS SERVICE PRICED AT $14.99/MONTH; NEW USERS GET FIRST MONTH AT $1,urn:newsml:reuters.com:20200911:nL4N2G82HA:2,NS:RTRS,0.09630924630924631,positive,0.025863183757923736,,,,,
